block_id,name,category,subcategory,origin,function,archetype,implementation_tier,protocol_status,timing_status,cdc_status,numeric_status,core,source_file,testbench_file,static_validation,ghdl_analysis,functional_simulation
0011,i2c_slave,Communication,I2C,User-provided starting list,Reusable i2c slave block for communication designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,protocol_shell,C,integration_shell_only; external compliant controller/PHY/VIP required,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_protocol_shell_core,rtl/blocks/communication/i2c_slave.vhd,tb/blocks/communication/tb_i2c_slave.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0012,can_controller,Communication,CAN,User-provided starting list,Reusable can controller block for communication designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,protocol_shell,C,integration_shell_only; external compliant controller/PHY/VIP required,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_protocol_shell_core,rtl/blocks/communication/can_controller.vhd,tb/blocks/communication/tb_can_controller.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0013,lin_controller,Communication,Communication,User-provided starting list,Reusable lin controller block for communication designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,protocol_shell,C,integration_shell_only; external compliant controller/PHY/VIP required,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_protocol_shell_core,rtl/blocks/communication/lin_controller.vhd,tb/blocks/communication/tb_lin_controller.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0014,rs485_packet_link,Communication,Packet networking,User-provided starting list,Reusable rs485 packet link block for communication designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,protocol_shell,C,integration_shell_only; external compliant controller/PHY/VIP required,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_protocol_shell_core,rtl/blocks/communication/rs485_packet_link.vhd,tb/blocks/communication/tb_rs485_packet_link.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0015,ethernet_mac_lite,Communication,Packet networking,User-provided starting list,Reusable ethernet mac lite block for communication designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,protocol_shell,C,integration_shell_only; external compliant controller/PHY/VIP required,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_protocol_shell_core,rtl/blocks/communication/ethernet_mac_lite.vhd,tb/blocks/communication/tb_ethernet_mac_lite.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0016,ethernet_frame_parser,Communication,Packet networking,User-provided starting list,Reusable ethernet frame parser block for communication designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,protocol_shell,C,integration_shell_only; external compliant controller/PHY/VIP required,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_protocol_shell_core,rtl/blocks/communication/ethernet_frame_parser.vhd,tb/blocks/communication/tb_ethernet_frame_parser.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0017,udp_packet_endpoint,Communication,Packet networking,User-provided starting list,Reusable udp packet endpoint block for communication designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,protocol_shell,C,integration_shell_only; external compliant controller/PHY/VIP required,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_protocol_shell_core,rtl/blocks/communication/udp_packet_endpoint.vhd,tb/blocks/communication/tb_udp_packet_endpoint.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0018,serdes_link_layer,Communication,SERDES link,User-provided starting list,Reusable serdes link layer block for communication designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,protocol_shell,C,integration_shell_only; external compliant controller/PHY/VIP required,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_protocol_shell_core,rtl/blocks/communication/serdes_link_layer.vhd,tb/blocks/communication/tb_serdes_link_layer.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0019,lvds_source_synchronous_link,Communication,LVDS link,User-provided starting list,Reusable lvds source synchronous link block for communication designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,protocol_shell,C,integration_shell_only; external compliant controller/PHY/VIP required,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_protocol_shell_core,rtl/blocks/communication/lvds_source_synchronous_link.vhd,tb/blocks/communication/tb_lvds_source_synchronous_link.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0020,packet_framer_deframer,Communication,Packet networking,User-provided starting list,Reusable packet framer deframer block for communication designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,protocol_shell,C,integration_shell_only; external compliant controller/PHY/VIP required,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_protocol_shell_core,rtl/blocks/communication/packet_framer_deframer.vhd,tb/blocks/communication/tb_packet_framer_deframer.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0021,protocol_bridge_generic,Communication,Communication,User-provided starting list,Reusable protocol bridge generic block for communication designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,protocol_shell,C,integration_shell_only; external compliant controller/PHY/VIP required,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_protocol_shell_core,rtl/blocks/communication/protocol_bridge_generic.vhd,tb/blocks/communication/tb_protocol_bridge_generic.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0022,spi_i2c_bridge,Communication,SPI,User-provided starting list,Reusable spi i2c bridge block for communication designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,protocol_shell,C,integration_shell_only; external compliant controller/PHY/VIP required,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_protocol_shell_core,rtl/blocks/communication/spi_i2c_bridge.vhd,tb/blocks/communication/tb_spi_i2c_bridge.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0023,axi_stream_to_packet_bridge,Communication,Packet networking,User-provided starting list,Reusable axi stream to packet bridge block for communication designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,stream,A,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_stream_core,rtl/blocks/communication/axi_stream_to_packet_bridge.vhd,tb/blocks/communication/tb_axi_stream_to_packet_bridge.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0024,axi_stream_router,Bus and Interconnect,AXI4-Stream,User-provided starting list,Reusable axi stream router block for bus and interconnect designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,stream,A,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_stream_core,rtl/blocks/bus_and_interconnect/axi_stream_router.vhd,tb/blocks/bus_and_interconnect/tb_axi_stream_router.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0025,axi4_lite_peripheral,Bus and Interconnect,AXI4 memory-mapped,User-provided starting list,Reusable axi4 lite peripheral block for bus and interconnect designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,mmio,A,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_mmio_core,rtl/blocks/bus_and_interconnect/axi4_lite_peripheral.vhd,tb/blocks/bus_and_interconnect/tb_axi4_lite_peripheral.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0026,axi4_lite_register_bank,Bus and Interconnect,AXI4 memory-mapped,User-provided starting list,Reusable axi4 lite register bank block for bus and interconnect designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,mmio,A,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_mmio_core,rtl/blocks/bus_and_interconnect/axi4_lite_register_bank.vhd,tb/blocks/bus_and_interconnect/tb_axi4_lite_register_bank.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0027,axi4_memory_mapped_slave,Bus and Interconnect,AXI4 memory-mapped,User-provided starting list,Reusable axi4 memory mapped slave block for bus and interconnect designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,bus,B,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_bus_adapter_core,rtl/blocks/bus_and_interconnect/axi4_memory_mapped_slave.vhd,tb/blocks/bus_and_interconnect/tb_axi4_memory_mapped_slave.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0028,axi4_memory_mapped_master,Bus and Interconnect,AXI4 memory-mapped,User-provided starting list,Reusable axi4 memory mapped master block for bus and interconnect designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,bus,B,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_bus_adapter_core,rtl/blocks/bus_and_interconnect/axi4_memory_mapped_master.vhd,tb/blocks/bus_and_interconnect/tb_axi4_memory_mapped_master.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0029,axi_stream_source,Bus and Interconnect,AXI4-Stream,User-provided starting list,Reusable axi stream source block for bus and interconnect designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,stream,A,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_stream_core,rtl/blocks/bus_and_interconnect/axi_stream_source.vhd,tb/blocks/bus_and_interconnect/tb_axi_stream_source.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0030,axi_stream_sink,Bus and Interconnect,AXI4-Stream,User-provided starting list,Reusable axi stream sink block for bus and interconnect designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,stream,A,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_stream_core,rtl/blocks/bus_and_interconnect/axi_stream_sink.vhd,tb/blocks/bus_and_interconnect/tb_axi_stream_sink.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0031,axi_stream_width_converter,Bus and Interconnect,AXI4-Stream,User-provided starting list,Reusable axi stream width converter block for bus and interconnect designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,stream,A,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_stream_core,rtl/blocks/bus_and_interconnect/axi_stream_width_converter.vhd,tb/blocks/bus_and_interconnect/tb_axi_stream_width_converter.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0032,axi_stream_packet_arbiter,Bus and Interconnect,Packet networking,User-provided starting list,Reusable axi stream packet arbiter block for bus and interconnect designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,stream,A,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_stream_core,rtl/blocks/bus_and_interconnect/axi_stream_packet_arbiter.vhd,tb/blocks/bus_and_interconnect/tb_axi_stream_packet_arbiter.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0033,wishbone_peripheral,Bus and Interconnect,Wishbone,User-provided starting list,Reusable wishbone peripheral block for bus and interconnect designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,mmio,A,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_mmio_core,rtl/blocks/bus_and_interconnect/wishbone_peripheral.vhd,tb/blocks/bus_and_interconnect/tb_wishbone_peripheral.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0034,wishbone_interconnect,Bus and Interconnect,Wishbone,User-provided starting list,Reusable wishbone interconnect block for bus and interconnect designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,bus,B,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_bus_adapter_core,rtl/blocks/bus_and_interconnect/wishbone_interconnect.vhd,tb/blocks/bus_and_interconnect/tb_wishbone_interconnect.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0035,avalon_mm_peripheral,Bus and Interconnect,Avalon,User-provided starting list,Reusable avalon mm peripheral block for bus and interconnect designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,mmio,A,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_mmio_core,rtl/blocks/bus_and_interconnect/avalon_mm_peripheral.vhd,tb/blocks/bus_and_interconnect/tb_avalon_mm_peripheral.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0036,avalon_stream_endpoint,Bus and Interconnect,Avalon,User-provided starting list,Reusable avalon stream endpoint block for bus and interconnect designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,stream,A,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_stream_core,rtl/blocks/bus_and_interconnect/avalon_stream_endpoint.vhd,tb/blocks/bus_and_interconnect/tb_avalon_stream_endpoint.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0037,apb_peripheral,Bus and Interconnect,Bus and Interconnect,User-provided starting list,Reusable apb peripheral block for bus and interconnect designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,mmio,A,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_mmio_core,rtl/blocks/bus_and_interconnect/apb_peripheral.vhd,tb/blocks/bus_and_interconnect/tb_apb_peripheral.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0038,memory_mapped_register_file,Bus and Interconnect,Memory-mapped registers,User-provided starting list,Reusable memory mapped register file block for bus and interconnect designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,mmio,A,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_mmio_core,rtl/blocks/bus_and_interconnect/memory_mapped_register_file.vhd,tb/blocks/bus_and_interconnect/tb_memory_mapped_register_file.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0039,register_map_subsystem,Bus and Interconnect,Bus and Interconnect,User-provided starting list,Reusable register map subsystem block for bus and interconnect designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,mmio,A,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_mmio_core,rtl/blocks/bus_and_interconnect/register_map_subsystem.vhd,tb/blocks/bus_and_interconnect/tb_register_map_subsystem.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0040,csr_status_control_block,Bus and Interconnect,Bus and Interconnect,User-provided starting list,Reusable csr status control block block for bus and interconnect designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,mmio,A,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_mmio_core,rtl/blocks/bus_and_interconnect/csr_status_control_block.vhd,tb/blocks/bus_and_interconnect/tb_csr_status_control_block.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0041,address_decoder,Bus and Interconnect,Bus and Interconnect,User-provided starting list,Reusable address decoder block for bus and interconnect designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,bus,B,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_bus_adapter_core,rtl/blocks/bus_and_interconnect/address_decoder.vhd,tb/blocks/bus_and_interconnect/tb_address_decoder.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0042,bus_bridge_generic,Bus and Interconnect,Bus and Interconnect,User-provided starting list,Reusable bus bridge generic block for bus and interconnect designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,bus,B,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_bus_adapter_core,rtl/blocks/bus_and_interconnect/bus_bridge_generic.vhd,tb/blocks/bus_and_interconnect/tb_bus_bridge_generic.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0043,interrupt_mapped_peripheral,Bus and Interconnect,Bus and Interconnect,User-provided starting list,Reusable interrupt mapped peripheral block for bus and interconnect designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,bus,B,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_bus_adapter_core,rtl/blocks/bus_and_interconnect/interrupt_mapped_peripheral.vhd,tb/blocks/bus_and_interconnect/tb_interrupt_mapped_peripheral.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0044,alu,Compute,Compute,User-provided starting list,Reusable alu block for compute designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,alu,A,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,bit-accurate integer behavior for implemented operation subset,bb_alu_core,rtl/blocks/compute/alu.vhd,tb/blocks/compute/tb_alu.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0045,alu_core,Compute,Compute,User-provided starting list,Reusable alu core block for compute designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,alu,A,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,bit-accurate integer behavior for implemented operation subset,bb_alu_core,rtl/blocks/compute/alu_core.vhd,tb/blocks/compute/tb_alu_core.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0046,mac_unit,Compute,Compute,User-provided starting list,Reusable mac unit block for compute designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,datapath,A,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,bit-accurate integer behavior for implemented operation subset,bb_datapath_core,rtl/blocks/compute/mac_unit.vhd,tb/blocks/compute/tb_mac_unit.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0047,multiply_accumulate_pipeline,Compute,Compute,User-provided starting list,Reusable multiply accumulate pipeline block for compute designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,datapath,A,not_applicable_or_internal_contract,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,bit-accurate integer behavior for implemented operation subset,bb_datapath_core,rtl/blocks/compute/multiply_accumulate_pipeline.vhd,tb/blocks/compute/tb_multiply_accumulate_pipeline.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
